"Date","Price","Open","High","Low","Change %"
"Jan 04, 2021","5.2968","5.1351","5.2972","5.1197","1.99%"
"Jan 01, 2021","5.1935","5.1934","5.1935","5.1934","0.00%"
"Dec 31, 2020","5.1935","5.1940","5.1940","5.1940","-0.00%"
"Dec 30, 2020","5.1937","5.2051","5.2361","5.1519","-0.31%"
"Dec 29, 2020","5.2099","5.2460","5.2473","5.1645","-0.69%"
"Dec 28, 2020","5.2461","5.1784","5.3124","5.1639","0.57%"
"Dec 24, 2020","5.2165","5.2168","5.2168","5.2168","0.00%"
"Dec 23, 2020","5.2164","5.1604","5.2215","5.1287","1.10%"
"Dec 22, 2020","5.1597","5.1220","5.1731","5.1094","0.73%"
"Dec 21, 2020","5.1222","5.2012","5.2250","5.1122","0.39%"
"Dec 18, 2020","5.1022","5.0592","5.1177","5.0592","0.87%"
"Dec 17, 2020","5.0582","5.0601","5.0890","5.0421","-0.50%"
"Dec 16, 2020","5.0838","5.0823","5.1440","5.0645","-0.01%"
"Dec 15, 2020","5.0842","5.1145","5.1248","5.0761","-0.68%"
"Dec 14, 2020","5.1189","5.0383","5.1307","5.0100","1.05%"
"Dec 11, 2020","5.0656","5.0438","5.0886","5.0288","0.80%"
"Dec 10, 2020","5.0256","5.1109","5.1328","5.0143","-2.81%"
"Dec 09, 2020","5.1708","5.1206","5.1981","5.0868","0.99%"
"Dec 08, 2020","5.1202","5.1000","5.1392","5.0627","0.42%"
"Dec 07, 2020","5.0990","5.1597","5.1701","5.0570","-1.10%"
"Dec 04, 2020","5.1557","5.1540","5.1846","5.1164","0.08%"
"Dec 03, 2020","5.1515","5.2178","5.2310","5.1209","-1.26%"
"Dec 02, 2020","5.2175","5.2252","5.2554","5.2059","0.22%"
"Dec 01, 2020","5.2061","5.3158","5.3301","5.2031","-2.36%"
"Nov 30, 2020","5.3319","5.2906","5.3971","5.2737","-0.22%"
"Nov 27, 2020","5.3438","5.3360","5.3801","5.3195","0.14%"
"Nov 26, 2020","5.3365","5.3198","5.3584","5.2955","0.24%"
"Nov 25, 2020","5.3237","5.3740","5.3956","5.3037","-0.93%"
"Nov 24, 2020","5.3736","5.4409","5.4450","5.3703","-1.20%"
"Nov 23, 2020","5.4390","5.3780","5.4507","5.3387","1.10%"
"Nov 20, 2020","5.3797","5.2913","5.3959","5.2847","1.40%"
"Nov 19, 2020","5.3054","5.3633","5.3805","5.2972","-1.07%"
"Nov 18, 2020","5.3629","5.3285","5.3725","5.2740","0.65%"
"Nov 17, 2020","5.3281","5.4165","5.4233","5.3221","-1.61%"
"Nov 16, 2020","5.4152","5.4148","5.4584","5.3636","-0.79%"
"Nov 13, 2020","5.4582","5.4580","5.5264","5.4497","0.00%"
"Nov 12, 2020","5.4581","5.4160","5.4904","5.3526","1.24%"
"Nov 11, 2020","5.3910","5.4180","5.4571","5.3738","-0.44%"
"Nov 10, 2020","5.4147","5.3737","5.4190","5.3345","0.54%"
"Nov 09, 2020","5.3858","5.2746","5.4260","5.2235","0.39%"
"Nov 06, 2020","5.3647","5.5255","5.5742","5.3586","-2.90%"
"Nov 05, 2020","5.5250","5.6129","5.6310","5.5223","-2.45%"
"Nov 04, 2020","5.6635","5.7565","5.7655","5.6434","-1.61%"
"Nov 03, 2020","5.7560","5.6964","5.7667","5.6487","0.24%"
